CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.5617,-0.3476,367.244,431.606,384.633
ARG,1.0,1.0,1.0,1.0,1.0,9.0,0.2198,0.567,440.276,592.132,504.317
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-0.546,0.8371,308.092,359.515,392.877
ARG,1.0,1.0,1.0,1.0,1.0,8.0,-0.5841,0.4533,406.781,402.454,352.719
ARG,1.0,1.0,1.0,1.0,1.0,3.0,-1.0539,-1.8584,364.229,541.856,489.015
ARG,1.0,1.0,1.0,1.0,1.0,10.0,0.2198,1.3137,521.654,557.752,598.139
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.2318,1.0847,365.363,457.815,395.132
ARG,1.0,2.0,2.0,2.0,2.0,6.0,-2.5408,-1.7045,438.069,455.927,454.265
ARG,1.0,1.0,2.0,1.0,1.0,8.0,-0.7098,0.6339,370.038,374.121,410.549
ARG,2.0,1.0,1.0,1.0,1.0,9.0,0.0346,0.0794,380.086,382.305,441.326
ARG,1.0,2.0,1.0,1.0,1.0,6.0,-0.4293,-0.3988,364.95,396.751,371.619
ARG,1.0,1.0,1.0,1.0,1.0,10.0,1.1428,1.1253,380.551,345.666,361.156
ARG,2.0,2.0,1.0,2.0,1.0,3.0,-0.4667,-1.9446,262.381,339.841,345.638
ARG,2.0,1.0,1.0,1.0,1.0,3.0,0.8963,-1.2246,361.604,354.375,445.335
ARG,1.0,1.0,2.0,2.0,1.0,2.0,-2.3907,-3.0558,332.901,336.88,339.336
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-0.8127,-0.5536,358.247,467.713,405.891
ARG,1.0,1.0,1.0,1.0,1.0,10.0,1.3455,0.4111,405.565,466.776,414.732
ARG,1.0,2.0,1.0,1.0,1.0,10.0,-1.164,-0.2468,469.719,528.286,493.822
ARG,1.0,1.0,1.0,1.0,1.0,9.0,0.4646,1.1478,531.047,576.675,569.756
ARG,1.0,2.0,1.0,1.0,1.0,7.0,-0.0128,-0.8838,372.569,296.103,361.291
ARG,2.0,2.0,2.0,2.0,1.0,2.0,-1.9473,-2.8897,454.552,517.521,486.22
ARG,2.0,1.0,1.0,1.0,1.0,6.0,-1.3683,-1.5927,292.724,254.631,336.836
ARG,2.0,,,,,,,,434.984,503.332,525.027
ARG,2.0,2.0,2.0,1.0,1.0,9.0,-2.0008,-1.0805,331.52,306.642,406.333
ARG,1.0,2.0,1.0,1.0,1.0,6.0,-0.1763,-0.9738,284.869,294.376,295.731
ARG,2.0,2.0,2.0,2.0,1.0,7.0,-1.8204,-1.235,388.396,454.822,441.353
ARG,2.0,1.0,1.0,1.0,1.0,6.0,-0.0376,-1.2116,362.378,376.95,403.446
